id,obra,año,descripcion_01,descripcion_02,objetos
96,Awá,1999 - 2000,Grafito sobre fundas de algodón. 70 cm x 50 cm cada una.,tres pedazos de tela con el dibujo del plano sobre ellos,"['tela', 'papel', 'tejido', 'cuerpo herido', 'pared']"
97,Los zapaticos de Ana María,2005 - 2006,Acrílico sobre papel. 100 cm x 70 cm.,hay un dibujo de dos hombres con barba y un sombrero,"['persona', 'cuerpo herido', 'grupo de personas', 'barro', 'cuerpo arrastrado']"
98,Cepillo,2006 - 2006,"Grafito sobre papel.
100 cm x 70 cm.",hay una foto en blanco y negro de una planta con un tallo largo,"['cuerpo arrastrado', 'cabeza', 'pared', 'herida', 'tierra']"
99,Peineta,2007 - 2006,"Grafito sobre papel.
100 cm x 70 cm.",hay un cepillo negro con un mango negro largo,"['cuerpo arrastrado', 'pared', 'herida', 'tela', 'cuerpo herido']"
100,El niño de la casa,2011,"Grafito e instrumento quirúrgico sobre papel.
24 cm x 17 cm.",un primer plano de un dibujo de un niño con corbata,"['papel', 'tela', 'cuerpo abandonado', 'cuerpo abandonado', 'cuerpo transportado']"
101,Niña de san Agustín,2011,"Grafito e instrumento quirúrgico sobre papel.
24 cm x 17 cm.",un dibujo de un hombre con una cara en un pedazo de papel,"['papel', 'tela', 'persona', 'cuerpo arrastrado', 'hombre']"
102,Silvia,2011 - 2012,"Grafito a manera de puñal sobre papel.
100 cm x 70 cm.",dibujo de una chica en un vestido de pie en un suelo de baldosas,"['mancha', 'cuerpo arrastrado', 'piso', 'cuerpo de pie', 'cuerpo en el suelo']"
103,El Niño de la Casa,2012 - 2012,"Grafito a manera de puñal sobre papel.
100 cm x 70 cm.",un primer plano de un dibujo de un niño con corbata,"['papel', 'tela', 'cuerpo abandonado', 'cuerpo abandonado', 'cuerpo transportado']"
104,El Tablón en Rojo 2,2013 - 2012,"Este dibujo- frottage tiene un cordón umbilical terráqueo que hace parte de un gran proyecto estético conectando lo ancestral y lo contemporáneo, excavando la realidad desde el poder de lo marginal consignado en diferentes tratamientos y maneras de atacar e imantar los soportes in situ, señalando la muerte como una amenaza irreversible y a la memoria como una condición exhumadora. En esta acción sobre lona reconstruyo mitos colectivos precolombinos, además, de situaciones de riesgo que son resueltas a manera de performances secretos u operativos políticos. De esta manera consigo en tiempo- espacio real, desafiar y exorcizar la historia de un sitio arqueológico de nuestro país: el Tablón en San Agustín Huila. 190 cm x 244 cm.","alguien está pintando un gran pedazo de papel con pintura roja
alguien está pintando una gran señal roja y blanca en una pared
tela arafed cubierta de sangre sentada en una cubierta de madera","['sangrado del cuerpo', 'mancha', 'cuerpo envuelto', 'cadáver', 'cadáver']
['sangrado del cuerpo', 'mancha', 'sangre', 'mancha de sangre', 'cadáver']
['sangrado del cuerpo', 'cuerpo cubierto', 'mancha', 'tela', 'cuerpo envuelto']"
105,Tablón Mujer (II),2014 - 2012,"Frottage hecho con óxido de
hierro negro sobre tela.
190 cm x 244 cm.","hombre arafed mirando una pared con un dibujo en ella
alguien está dibujando un dibujo en un pedazo de papel con un cepillo pequeño
hombre arafed dibujando un cuadro en un gran pedazo de papel
hombre arafed en camisa blanca pintando un objeto blanco grande
un primer plano de una pintura en blanco y negro en una pared
dibujo arafed de un hombre con una calavera en una pared
hay un dibujo blanco y negro de un hombre en una pared
hombre arafed en camisa roja sosteniendo un secador de pelo en una habitación
hombre arafed en camisa roja pintando un cuadro en una pared
hombre arafed en camisa roja pintando un objeto blanco grande con pintura negra
hombre arafed en una camisa roja está pintando un objeto blanco grande
hay un hombre que está pintando en un pedazo de papel
alguien está dibujando un cuadro de un hombre con un cuchillo","['mancha', 'cuerpo humano', 'mancha de sangre', 'piel', 'materia orgánica']
['mancha', 'manos', 'mano', 'mancha de sangre', 'interacción']
['cuerpo humano', 'cuerpo de pie', 'manos', 'interacción', 'cadáver']
['cuerpo humano', 'interacción', 'manos', 'mancha', 'mano']
['tela', 'tejido', 'papel', 'cuerpo arrastrado', 'cuerpo envuelto']
['cuerpo arrastrado', 'tela', 'cuerpo herido', 'cadáver', 'cuerpo inmóvil']
['tela', 'cuerpo arrastrado', 'papel', 'cuerpo humano', 'cuerpo envuelto']
['cuerpo cubierto', 'cadáver', 'cuerpo de pie', 'tela', 'cadáver']
['mancha', 'cadáver', 'tela', 'persona', 'sangrado del cuerpo']
['cuerpo cubierto', 'cuerpo envuelto', 'tela', 'cuerpo acostado', 'cuerpo sentado']
['tela', 'mancha', 'cuerpo cubierto', 'tejido', 'cuerpo envuelto']
['materia orgánica', 'tierra', 'cuerpo lesionado', 'cuerpo abandonado', 'cuerpo abandonado']
['cuerpo arrastrado', 'cuerpo herido', 'cuerpo cubierto', 'tela', 'cuerpo en el suelo']"
106,Mapas Rotos,2014,"Dibujo hecho en papel atacado con puñal.
139 cm x 100 cm.
Dibujo hecho en papel atacado con puñal.
139 cm x 100 cm.
Papel lacerado con instrumento quirúrgico.
139 cm x 100 cm - 100 cm x 70 cm.","hay una imagen de un mapa de América del Sur
hay un pedazo de papel blanco con pintura negra en él
hay una imagen de una imagen de una pared blanca
arafed imagen blanca de un pedazo de papel con un mapa del país de América del Sur
hay un pastel blanco esmerilado con una flor en él
un primer plano de un pedazo de papel con un diseño blanco y negro
pintura blanca arafed en la pared con una línea negra
hay una pintura blanca que se está despegando de una pared","['pared', 'papel', 'piso', 'espacio interior', 'persona']
['papel', 'pared', 'piso', 'tejido', 'tela']
['pared', 'papel', 'espacio interior', 'cuerpo herido', 'materia orgánica']
['pared', 'papel', 'suciedad', 'barro', 'materia orgánica']
['papel', 'pared', 'cuerpo herido', 'materia orgánica', 'tejido']
['papel', 'pared', 'tejido', 'tela', 'mancha de sangre']
['pared', 'papel', 'piso', 'cuerpo herido', 'herida']
['pared', 'barro', 'papel', 'materia orgánica', 'piso']"
107,Limpiándome los dedos,2016,"Témpera y tinta sobre papel.
125 cm x 179 cm.",arafed dibujo en blanco y negro de un hombre y una mujer,"['cuerpo herido', 'cuerpo arrastrado', 'tela', 'materia orgánica', 'tejido']"
108,Lideresa social,2016,"Témpera sobre papel.
125 cm x 90 cm. cada una.","dibujo arafed de una mujer con una corona en la cabeza
hay un dibujo blanco y negro de la cara de una mujer","['mujer', 'cabeza', 'persona', 'cuerpo arrastrado', 'cuerpo inmóvil']
['mujer', 'cuerpo arrastrado', 'cabeza', 'persona', 'cuerpo inmóvil']"
109,Antártica,2016,"Collage
88 cm x 88 cm",hay un mapa en un pedazo de cartón en la pared,"['cuerpo herido', 'papel', 'piso', 'herida', 'tejido']"
110,El cuarto en astillas,2017,"Grafito sobre papel.
35 cm x 50 cm.",dibujo arafed de un edificio con una torre de reloj en el fondo,"['calle', 'multitud', 'espacio urbano', 'espacio público', 'pared']"
111,Pañuelo blanco y negro,2017,"Esquirlas de plástico sobre algodón.
41,5 cm x 41,5 cm.",hay un paño blanco con un coche negro y un banco negro,"['tela', 'cuerpo acostado', 'tejido', 'cuerpo transportado', 'cuerpo herido']"
112,NY Times.,2016 – 2018,"Periódicos tratados con instrumento quirúrgico.
30 cm x 40 cm los tres primeros - 60 cm x 32 cm el cuarto.","un primer plano de un montón de periódico con tijeras y un clip de periódico
un primer plano de un montón de periódico con tijeras en él","['plástico', 'papel', 'tejido', 'basura', 'materia orgánica']
['papel', 'materia orgánica', 'pared', 'tejido', 'plástico']"
113,Le figaro - le monde,2018,"Periódicos borrados con gasa húmeda.
24 cm x 32 cm.",dos páginas de viejo periódico con una foto de un barco y un barco,"['papel', 'pared', 'tejido', 'tela', 'espacio interior']"
114,Europa,2018,"Gasa húmeda frotada sobre mapa.
39,3 cm x 54 cm.",hay un libro con un mapa de Europa en él,"['papel', 'tejido', 'tela', 'materia orgánica', 'tierra']"
115,El ártico,2018,"Gasa húmeda frotada sobre mapa.
39,3 cm x 27 cm.",un primer plano de un mapa del ártico con mucha nieve,"['papel', 'tierra', 'piso', 'pared', 'tela']"
116,México y América central,2018,"Gasa húmeda frotada sobre mapa.
39,3 cm x 54 cm.",hay un mapa de México y América Central en la pared,"['mancha de sangre', 'papel', 'materia orgánica', 'cuerpo herido', 'herida']"
117,Pana – Proyecto costal,2018 - 2019,"35 piezas, aprox.
Ropa ungida en acrílico y golpeada contra el papel.
100 cm x 70 cm. cada uno.","arafed imagen de un par de pantalones con un fondo blanco y negro
hay un dibujo blanco y negro de la pierna de un caballo","['cuerpo arrastrado', 'mancha', 'cuerpo herido', 'mancha de sangre', 'cadáver']
['cuerpo arrastrado', 'cuerpo herido', 'cuerpo en el suelo', 'cadáver', 'cadáver']"
118,Pintura robada,1997 - 2003.,"Pared sucia de un lugar marginal de Cali, recogida con plástico autoadhesivo y adherida luego a una de las paredes del lugar de exhibición.
215 cm x 300 cm","hay una pared azul y blanca con un pájaro en ella
graffiti en la pared de un cuarto de baño con un inodoro y un cubo de basura
graffiti en la pared de un baño con una pared azul y una escritura marrón
hay un dibujo del banco y un cuenco sobre la mesa","['pared', 'piso', 'tela', 'tierra', 'tejido']
['habitación', 'habitación vacía', 'pared', 'espacio interior', 'espacio urbano']
['pared', 'espacio interior', 'materia orgánica', 'habitación vacía', 'cuerpo abandonado']
['tejido', 'papel', 'herida', 'barro', 'materia orgánica']"
119,Cama,2018 - 2019,"Cama en la que fallecieron sucesivamente mi madre y mi padre, ahora convertida en mesa de trabajo.
Acrílico sobre lona.",pintura de un vaso de cerveza con un copo de nieve en el fondo,"['mancha', 'espacio interior', 'cuerpo arrastrado', 'cadáver', 'herida']"
120,Tejedora con gasa,2011 - 2019,"Frottage con carbón y acrílico sobre tela.
250 cm x 180 cm",hay una pintura en blanco y negro en una pared en una habitación,"['tela', 'cuerpo arrastrado', 'cuerpo inmóvil', 'papel', 'cuerpo envuelto']"
121,Mapuches,2019 - 2020,Acrílico sobre papel impreso. 39.3 cm x 54 cm,hay una tabla de tiza con una escritura de tiza en ella,"['materia orgánica', 'cuerpo inmóvil', 'pared', 'tejido', 'tela']"
122,Siona,2020 - 2020,"Acrílico y lápiz sobre papel impreso.
54 cm x 39,3 cm",arafed mapa de italia con la palabra roma en él,"['pared', 'papel', 'tejido', 'mancha de sangre', 'piso']"
123,Nukak,2021 - 2020,"Lápiz y acrílico sobre papel impreso.
39,3 cm x 54 cm.",arafed mapa de alaska con la palabra alaska escrito en él,"['barro', 'materia orgánica', 'papel', 'tela', 'pared']"
124,Awá Japón,2022 - 2020,"Acrílico y lápiz sobre papel impreso.
39,3 cm x 27,5 cm",arafed mapa de Japón con un avión volando sobre él,"['pared', 'papel', 'piso', 'tierra', 'tela']"
125,Chibcha,2023 - 2020,"Acrílico y lápiz sobre papel impreso.
39,3 cm x 54 cm.",hay una pintura de un niño en una pizarra con la palabra chichida escrita en ella,"['tela', 'tejido', 'espacio interior', 'suciedad', 'tierra']"
126,Niño ancestral,2019 - 2020,"Témpera sobre papel.
125 cm x 179 cm.",arafed dibujo blanco y negro de una mujer en un bosque,"['cuerpo herido', 'cuerpo arrastrado', 'tela', 'materia orgánica', 'tejido']"
127,Niño rojo,2020,"Carbón, acrílico y pigmento rojo sobre papel.
199 cm x 139 cm","pintura de un hombre de pie frente a una pintura roja y blanca
pintura de una persona de pie delante de un fondo blanco y rojo
dibujo arafed de un hombre con una sudadera roja","['mancha de sangre', 'mancha', 'cuerpo herido', 'sangrado del cuerpo', 'cuerpo inmóvil']
['mancha de sangre', 'cuerpo herido', 'cuerpo en el suelo', 'sangrado del cuerpo', 'mancha']
['cuerpo herido', 'mancha de sangre', 'sangrado del cuerpo', 'mancha', 'cuerpo arrastrado']"
128,Niño rojo sentado,2020,"Pigmento rojo sobre papel
100 cm x 70 cm.","pintura de un hombre de pie frente a una pintura roja y blanca
pintura de una persona de pie delante de un fondo blanco y rojo
dibujo arafed de un hombre con una sudadera roja","['mancha de sangre', 'mancha', 'cuerpo herido', 'sangrado del cuerpo', 'cuerpo inmóvil']
['mancha de sangre', 'cuerpo herido', 'cuerpo en el suelo', 'sangrado del cuerpo', 'mancha']
['cuerpo herido', 'mancha de sangre', 'sangrado del cuerpo', 'mancha', 'cuerpo arrastrado']"
129,Mujer Sinú,2020,"Carbón sobre papel.
41,5 cm x 29,7 cm",dibujo de un hombre con un guante de béisbol y un guante de béisbol,"['cuerpo arrastrado', 'cuerpo herido', 'cuerpo de pie', 'cuerpo transportado', 'persona']"
130,Hombre Sinú,2020,"Carbón sobre papel.
41,5 cm x 29,7 cm",dibujo de un hombre sosteniendo a un bebé en sus brazos,"['cuerpo arrastrado', 'cuerpo herido', 'cuerpo de pie', 'cuerpo en el suelo', 'cuerpo humano']"
131,Niña Sinú,2020,dibujo de un oso con un sombrero y una corbata,"['cuerpo arrastrado', 'cuerpo herido', 'mujer', 'mancha de sangre', 'herida']",
132,Dibujo RS,2020,"Grafito y borrador sobre papel.
100 cm x 70 cm",dibujo de un oso con un sombrero y una corbata,"['cuerpo arrastrado', 'cuerpo herido', 'mujer', 'mancha de sangre', 'herida']"
133,Proyecto para cámara neumática,1980 - 1981,"Tinta sobre papel. Dibujo de un pulmón subterráneo hecho en plástico de 600 metros x 600 m x 2,5 m, inyectado constantemente de aire para poder soportar la cantidad de tierra que está encima de la cámara. Este pulmón esta señalado en el exterior con un dibujo realizado en material bélico en polvo.",dibujo arafed del cuadrado con la rejilla sobre él,"['paper', 'cloth', 'fabric', 'floor', 'interior space']"
134,Nube gris,2006,"intervención realizada con puñal, motosierra, grafito y oxido de hierro negro sobre una de las paredes del museo Jacobo Borges en Caracas, Venezuela,durante mi Antología,  ""Hojas de vida"", junto a Goya y Revero'n.","hay una gran pintura en la pared de un edificio
hay un dibujo de la cabeza de un gato en una pared
fotografía arafeada de un tronco de árbol con un paraguas roto
hay un dibujo de la cabeza de un gato en una pared
imagen arafed de un paraguas roto con un fondo borroso
hay una gran pintura en la pared de un edificio","['espacio interior', 'cuerpo herido', 'espacio urbano', 'piso', 'pared']
['herida', 'cuerpo arrastrado', 'cuerpo herido', 'cuerpo inmóvil', 'mancha']
['herida', 'cuerpo herido', 'materia orgánica', 'cuerpo arrastrado', 'cuerpo inmóvil']
['herida', 'cuerpo arrastrado', 'cuerpo inmóvil', 'mancha', 'cuerpo herido']
['herida', 'tela', 'cuerpo herido', 'materia orgánica', 'tejido']
['cuerpo herido', 'espacio interior', 'cuerpo arrastrado', 'cuerpo inmóvil', 'pared']"
135,Kamentza,1980 - 1982,"Proyecto de performance, para ser ejecutado en un pabellón psiquiátrico. Punciones, hendiduras, rasgados y frotados, hecho con mis dientes repetida y simultáneamente sobre seis maderos, en un estado de convulsiones producidas de manera auxiliar por electro- shocks.",dibujo del dibujo de un hombre en una escalera con un arma,"['cuerpo de pie', 'mano', 'papel', 'cuerpo arrastrado', 'cabeza']"
136,Situándome,1981 - 1982,"Proyecto de performance con cadáveres humanos. Tinta sobre papel. Dimensiones 28 x 21,6 cm. Sesenta minutos de situación –instalación. 10 minutos de acción corporal Ingresaré idéntico a los difuntos, los cadáveres humanos adultos, estarán desnudos bañados y con anterioridad fijados a la pared con incrustaciones metálicas, los cuerpos quedarán entonces conservando líneas rectas en posiciones oblicuas, horizontales y verticales. Sucesivamente intensifico interrelaciones humanas, escogiendo y rasgando de uno de ellos con mis dientes, fragmentos dibujados de antemano con una cuchilla y localizados en extremidades superiores e inferiores del muerto, suspendiendo luego esos dibujos en piel de una viga de vidrio con agarraderas metálicas fijas a la pared. Adjunto se encontrará una sonda auxiliar, con aire proveniente del exterior. Se supone que cada difunto hechos en piel son mapas anónimos de dolor. debe tener antecedentes sociopolíticos y los dibujos",dibujo de un hombre en una camisa a rayas con un murciélago colgando de una línea,"['cuerpo herido', 'cuerpo arrastrado', 'cuerpo inmóvil', 'espacio interior', 'cuerpo de pie']"
137,Estructura,1981 - 1982,"Estudio para instalación. Tinta sobre papel. De seis a nueve mangueras ensambladas con envases plásticos reciclados y cargadas de formol, acopladas al piso y a las paredes del lugar.",un primer plano del dibujo de una persona que está de pie sobre un alambre,"['cuerpo herido', 'cuerpo transportado', 'cuerpo humano', 'cuerpo lesionado', 'cuerpo acostado']"
138,Nicho,1982 - 1983,Estudio para instalación - intervención. (Tinta sobre papel) Hecha con explosivos en un espacio interior.,el dibujo de la habitación con la ventana y el dibujo de la habitación,"['papel', 'tierra', 'espacio interior', 'piso', 'interacción']"
139,Brazo,2017,Proyecto de escultura pública. Brazo para construir con madera reciclada y clavos. 21 metros de altura x 7 metros de base.,alguien está dibujando un puño con un lápiz en un cuaderno,"['mano', 'manos', 'cuerpo de pie', 'cuerpo humano', 'persona']"
